"Method","GroupBasedOn","Group","Process","bin1","bin2","bin3","bin4","bin5","bin6","bin7","bin8","bin9","bin10","bin11","bin12","bin13","bin14","bin15","bin16","bin17","bin18","bin19","bin20","bin21","bin22","bin23","bin24","bin25","bin26","bin27","bin28","bin29","bin30","bin31","bin32","bin33","bin34","bin35","bin36","bin37","bin38","bin39","bin40","bin41","bin42","bin43","bin44","bin45","bin46","bin47","bin48","bin49","bin50","bin51","bin52","bin53","bin54"
"CbMPDiCbraya","Status","Wild","HeS",0,0,0.000572184297283979,0.000775479795054833,0,3.20037964256009e-05,0.000135316817543045,0,0.000887388350948779,1.23781490520265e-05,0.000300609410233911,0,0,0.00153652596093359,6.6511737238593e-05,0,0,2.81899153909085e-05,0,0,0.000752358782065706,0,0,0,0,0,0,0.000317130070104108,0,0,0,1.95219193066177e-05,0.000618490818499794,1.35233599872761e-07,1.3512167825019e-05,0.000114473436217595,0,5.47500025860526e-06,0,0.000430401794235541,5.54519272895741e-05,0.00017835348267186,0,1.70849446844919e-05,0.00504005361507248,3.51537493916614e-05,0.000127581493198421,0,0.000618657629947541,2.09523384358714e-05,0.000726499278277869,3.83936000635995e-06,0,2.40494842187285e-06
"CbMPDiCbraya","Status","Wild","HoS",0.000234559783396441,0.000116985087457424,0.000346843725689635,0.000135718143894694,7.97327446427649e-05,0.00182453958801137,0.00331511444904226,0.000326540732022301,0.00148549017559014,7.46096655143333e-05,0.00335717281747005,0.00207388882523662,5.20729696109013e-06,0.000359490728002402,3.31256076243231e-07,6.8914416952048e-06,1.37445739155362e-06,0.00264006262323332,0.0125598809885439,0.00207833246579619,0.00200468660535353,0.000335763856995084,9.8110913444024e-05,0.00203309575400645,0.000659980079071641,0.0013977680160538,0,0.00233696259653714,0.00203282903175811,0.002062898104559,5.10268066196489e-05,0.000158648901530204,0.00036211804831258,5.24608076620004e-06,7.55548157521796e-06,5.00572356679099e-05,0.000358132346369891,7.14840755260007e-06,0.0288706731682669,0.000126551208797276,0.00361941768899763,0.000523063754376497,0.00314490675252859,9.12520044325755e-05,0.000410496582490254,0.00208082635799342,0.00322429364282756,0.000104705700733902,0.000843903066770913,0.00119318944323462,0.00188638411194182,0.000231694109826496,0.000264668507012452,0.000907738415939693
"CbMPDiCbraya","Status","Wild","DL",0.0047702549155529,0.0093749350277524,0.0084384560347316,0.00314653507825265,0.00342997157480152,0.00387373441620904,0.00599337683170457,0.00591783720829009,0.00216773249138271,0.00103884665301592,0.0107237773433617,0.0103858489230247,0.0113832190396961,0.00739057919988627,0.00253757084823163,0.00026042258565999,0.00143929828121512,0.00550121095470004,0.00699093097674347,0.0030348550162067,0.00408717692559455,0.0112759860710112,0.00117807605676471,0.00646123539395328,0.0149763236477178,0.00441836346210029,0.00351721686057913,0.00508599119816624,0.0127657832794011,0.0133091057173916,0.00348898964271453,0.0137227177640779,0.0030741985185577,0.000204614543856983,0.000531589951761967,0.0144819250910273,0.0159771927242569,0.00568761012848961,0.000648246636284775,0.012141823777071,0.0129722353570649,0.00443724100689129,0.00711692822200817,0.00412895058070251,0.00678550210395328,0.00470795435013881,0.00928709836925204,0.00449971366276695,0.0154112140194426,0.0217739263421977,0.0197868215138058,0.00627191330473816,0.0032870974786501,0.0117946949361234
"CbMPDiCbraya","Status","Wild","HD",0,0,0,0,0,0,0,0,0,0,7.69003144300057e-09,0.000121040624030641,1.49887409281934e-06,0,0,0,0,9.045912505298e-05,3.0987313976088e-06,0,0,0,0,0,1.50896470133775e-05,0,0,0,3.47843183507269e-07,1.22628425796575e-06,0,2.41554087306926e-05,0,0,0,9.60746109425147e-05,1.69954376678469e-07,4.689087695787e-08,2.92164250609499e-05,4.65750073796539e-06,2.08777339679435e-07,3.59108479006999e-06,4.12173754286934e-05,1.48176334579793e-08,0.000163280851863048,1.19925523438518e-06,0,0,1.13991120788932e-06,5.26521656503823e-05,4.94347408697509e-06,0,0,5.94876459927119e-06
"CbMPDiCbraya","Status","Wild","DR",0.00111575986624587,0.00026493957633476,0.00118332554992998,8.33575053896625e-05,8.44086121899172e-05,0.00222807745615023,0.000264469870486457,0.00095294358933996,1.05832961417321e-05,9.16393956478079e-05,0.0063685212042743,0.0273572204553795,0.0247032907302377,0.000211720208706401,0.000106456728902896,1.79958019650777e-06,2.17487336741268e-05,0.0609615147252301,0.0146580502302767,8.50966206617372e-06,0.000956427744077394,0.000589962855241056,0.000312000543610752,0.00182816468936545,0.00129148910621702,0.00237307086945578,4.24905281082604e-05,0.000864274640720607,0.00482620104402555,0.00159168089680415,8.07854867876563e-05,0.00166516290807889,0.000352072316071238,2.49723307333291e-05,5.47305976964992e-05,0.00773625498823822,0.00422753222481738,0.000177546738544214,0.0777032989199542,0.000695995876659564,0.00151147323021703,0.00251313155561728,0.0608864765914663,0.000130213633122961,0.180193705610076,0.00500550811502884,0.000206237416443765,5.61923273673282e-05,0.000864250605718204,0.00286271979853228,0.00192437073619946,0.000575241057743629,0.000158874995563072,0.00133033392071435
"CbMPDiCbraya","Status","Domesticated","HeS",6.48508430609598e-06,0.000165094472851382,0,0,9.9995432279824e-05,0.00013419394766647,0.00019081938647845,0.000431850586165794,0,9.75747470202648e-05,0,0,0,1.70724901027371e-05,0,0,0,0,2.54823858074867e-05,0,0.000525414004205931,0,0,0,0.000422495572078736,0.000118278120633831,0.000103581082141186,0,0.000169268779898018,0,1.75072520777005e-05,0,0.000162584683658448,0,0,1.17748834526842e-05,0,9.65853447147229e-05,0,0,0.000767251167653817,0.00206090431587898,0.00325437539365847,0,0,0.000460145821341447,6.46050617531586e-05,2.01958282317763e-05,0.000110851739240608,4.80239908900665e-06,0.000165280492698183,0,0,0
"CbMPDiCbraya","Status","Domesticated","HoS",0.000738281708179041,0.000249401846416663,5.49271372991215e-05,0,7.56597984860628e-07,0.00185185167134224,0.000347021128563382,0.00138522043152556,6.06352466275861e-08,0.000148703810100186,0.00257043336817141,0.0125034382309419,0.00502045059849886,0.000804060897337869,0,0.000913679222676989,5.72494691961693e-07,0.00499172375969791,0.00103685816885646,0.000157512860332489,0.00110324138243088,5.02829776636972e-07,0.00210573718965958,0.000223006004949924,0.000490206828640782,0.000285462888091061,0.000298278973332427,7.15562458736583e-06,0.00255825678903299,0.00171684458506495,0.000499204149140639,0.000123815441842614,0.00287795289806037,6.41387514531818e-07,0,0.00430520238612626,8.57577321624888e-07,1.9571747253956e-06,0.0297738703004956,0.0033730826009693,0.00391981102061093,0.000594551677164771,0.00126412675032147,6.51889111004469e-06,0.00131004157750412,0.0155703477017893,0.000152719859320812,3.76830276620358e-05,0.00111914580407839,0.000996231627881152,0.000217381115605344,0.000891284969293405,3.38046466612085e-06,0.000224488459593985
"CbMPDiCbraya","Status","Domesticated","DL",0.00591522636140207,0.00512533498017354,0.00964310888598619,0.000423850388284482,0.00250494566065301,0.00452890072813282,0.00710357953084797,0.0121256550930234,0.000448364170016083,0.00619110095768888,0.00892811727227378,0.000727082199739462,0.0138243822604723,0.00300862536530949,0.00461324115296898,0.0034845052111576,0.000841392370934797,0.000897817467544404,0.00861088872025374,0.00551842566473311,0.00201349808431997,0.0072671024107296,0.010519499630317,0.00539305156459971,0.00719285374204704,0.0107535450180656,0.00283523209132456,0.00603822053805294,0.0129489989059857,0.0150133749495375,0.00418267860057726,0.0217004049083125,0.0160609363477152,4.90126339369267e-07,0.000955303217932336,0.0347203438135323,0.00584024007949175,0.00150006899899871,0.00118329648632958,0.00931858303262279,0.0114541743502144,0.0257120825652579,0.00244653119599908,0.00763562986296479,0,0.00982035919440925,0.00839409782806523,0.00385587440607797,0.0158412849809056,0.0283833149156602,0.00214622675364991,0.0106763389716625,0.00191829212581913,0.00461182313052658
"CbMPDiCbraya","Status","Domesticated","HD",0,0,0,0,0,0,0,0,0,0,3.83790769595326e-05,7.46203340752068e-05,0.000193887459026657,0,0,0,0,0.000227260173229233,2.98796506994729e-05,0,0,0,0,0,7.19004203439135e-06,0,0,0,1.45601900437122e-05,6.69478476266988e-08,0,5.89892171901389e-05,0,0,0,1.01694417521549e-05,0,0,0,3.43353962557169e-07,3.37089224149721e-06,1.06761857416316e-06,1.48068426826267e-05,1.1110740753086e-07,0.00215814452547656,8.53545988964209e-07,0,0,3.39332607271548e-06,7.31743069657428e-05,5.30968537330417e-06,0,0,1.25598486272393e-07
"CbMPDiCbraya","Status","Domesticated","DR",0.00146671261772532,0.00152196290570045,0.00030443604873933,0.000159996175912469,0.000104302131572796,0.00266505459718729,0.000337385328529601,0.000978615751836716,0.000284152931869667,0.000100269517483106,0.00617301225535095,0.0251555818215437,0.0283846580228727,6.36246656854089e-05,5.07975210809712e-06,0.000366309024424015,1.10705387505297e-05,0.0492173449506923,0.0238038354474257,7.41645050418492e-05,0.00162249222284777,0.000645176846343164,0.000202173148960704,0.0021373376998162,0.00324692113034414,0.00194283165978674,0.000108231881246423,0.000408536416935009,0.00679532800678674,0.00242998457947291,0.000118185008649215,0.00181740502490055,0.000734149128320523,2.05096838371031e-05,1.26244512667489e-06,0.00724365203561453,0.00155091169734669,2.99266452596343e-05,0.0659846909575248,0.000824782927839345,0.00310634713460288,0.00234032723065839,0.0511377334462566,8.43124139311216e-05,0.154546102551772,0.0054749534939626,0.000789676699630491,0.00045454761075897,0.00038615787340254,0.00267797379998469,0.00271403474883299,0.000465189507242829,7.2067952560701e-05,0.00246210179194864
"CbMPDiCbraya","Status","Wild_vs_Domesticated","HeS",4.37743190661479e-06,0.00012978584735904,2.37235455698606e-05,0.00043801238079304,2.99752203688817e-05,5.91925417090826e-05,0.000219900081634609,3.40520854898534e-05,0.00041298486708362,6.06357356483074e-05,0.000146079234045403,0,0.000785100518806744,0.000961324790239397,6.9315017295217e-05,0,0,0.000103005152709184,0,0,0.000917947858242295,0,0,0,0.000196066599493461,2.90609662059067e-05,2.68080983457409e-05,8.33416251485549e-05,5.07806339694055e-05,0,2.25489856828086e-06,5.0756990197206e-06,0.000211308785304419,1.42025073614931e-07,0,2.60659622354626e-05,0,5.96947018169407e-05,0,0.000149205955334988,0.000623747779849017,0.00190494509169029,0.00192318558841527,3.59103410478155e-05,0.00202740297955772,0.000695702716917269,0.000105878667557027,4.77618889145895e-05,0.000189435481778989,0.000130596201101817,0.000559185218220998,0,0,9.3792988453041e-07
"CbMPDiCbraya","Status","Wild_vs_Domesticated","HoS",0.000452155898459388,0.000138228151601233,0.000230703994309387,8.58645885841442e-06,2.98488547987381e-05,0.00193651359510727,0.00173891259034265,0.000583280271844756,0.000817229395132497,2.55843174242231e-05,0.00310365662222619,0.00684174497519195,0.00121129080191489,0.000348113433546797,0,5.4410027711268e-05,1.14645510124481e-06,0.00403676487764986,0.00509611130872661,0.000860084889339019,0.00144083668894718,7.12461123385587e-05,0.000688450792415792,0.000849282467697685,0.000702365709225161,0.000968175502304414,0.000100031036619765,0.00134958734350609,0.00249086938348374,0.00200814263567931,0.000349006529678216,0.000284380930123144,0.00201756877011299,2.87612000866179e-06,1.88249898693261e-05,0.00201952791087572,5.55189542891327e-05,6.52494334296355e-06,0.0314523608402463,0.00093296805330465,0.00259432368322974,0.000510507106200209,0.00230614001539555,0.000100190923698981,0.00106979971139045,0.00629667735134732,0.0013704110240555,5.54617595127994e-05,0.000823153938885255,0.0016995411942992,0.000721219824114519,0.00021456535616242,9.09547830974085e-05,0.000242725619265655
"CbMPDiCbraya","Status","Wild_vs_Domesticated","DL",0.0052172323445538,0.00708692555150584,0.00923900486341608,0.00179162124904618,0.00300122432502786,0.00388904790565295,0.00658438559755584,0.00940206595179888,0.00126125817989907,0.00369932424013594,0.00989185610831606,0.00563109436759903,0.0135473625632651,0.0052507057940657,0.00354328187814581,0.00227001826308955,0.0011398936708924,0.00266385235324902,0.00785858229874199,0.00453263066348543,0.00281926618991126,0.00949559823131726,0.00627331912532025,0.00629983795586997,0.0107297638217579,0.00758979375934948,0.00325054567009763,0.00550258725715084,0.0127037743106345,0.0137172645205542,0.00376289175392463,0.017518849903398,0.00924028306136337,9.92111632726712e-05,0.000735960821122349,0.0245426055577696,0.010989061113739,0.00357935116761798,0.00144385533720876,0.0116193457422283,0.0133088028495213,0.0143020244825477,0.00586236143900271,0.00579901713055074,0.00376721072635247,0.00915139518687321,0.00916873700324803,0.00409794190809303,0.0158629566763193,0.0244845544756029,0.0113226975619141,0.00879216075302854,0.00271198574018399,0.00858065093772659
"CbMPDiCbraya","Status","Wild_vs_Domesticated","HD",0,0,0,0,0,0,0,0,0,0,1.18407870370814e-05,1.01415845273021e-05,2.19929151823437e-05,0,0,0,0,0.000293765369230599,1.80127516218624e-05,0,0,0,0,0,1.26154521449193e-05,0,0,0,5.25190152351305e-06,4.99397597219518e-07,0,4.90852003651123e-05,0,0,0,5.1182610027938e-05,1.29982329741249e-07,3.04790700226155e-08,0,2.06237330754058e-06,1.19392722978654e-06,4.21973508692445e-06,5.39464011395453e-05,4.4442963012344e-08,0.000894464161554057,1.57694921063731e-06,0,0,2.20705565140114e-06,7.50714909074204e-05,5.30649660703933e-06,3.71795586786385e-08,0,3.21424999988233e-06
"CbMPDiCbraya","Status","Wild_vs_Domesticated","DR",0.00144987449348407,0.00105438739787719,0.000778208436534592,0.000124248454696757,9.10079768668698e-05,0.00268442405809322,0.000300343402064766,0.00103993338696843,0.000150413583482685,9.20171545527971e-05,0.00607658246743882,0.0267163797796676,0.0261925503417601,0.000135705740130187,5.19988423221929e-05,0.000192375242104337,1.66883123354025e-05,0.0551804040945469,0.0208867462909118,4.31845342638092e-05,0.00135459713834713,0.000490403091392539,0.000246028823642354,0.00188882512977785,0.00251046331496096,0.00205762978923373,7.51309033028541e-05,0.000593619316746213,0.00580511070544657,0.00233668447863708,0.000105035291112201,0.00178801901407913,0.000652090762817129,2.60753849687466e-05,2.71911199671815e-05,0.00774558192037704,0.0029328082516326,0.000107581372862318,0.0692004302695034,0.000754528912272238,0.00217680253328625,0.0024604607304155,0.0545079178412219,0.000111881289734186,0.167544786130249,0.0054332985882909,0.000478128490385176,0.000313290725279051,0.000722246325758521,0.00262970520690449,0.00218021685437915,0.000550987351507069,4.92502388543898e-05,0.0018423012463004
