"Method","GroupBasedOn","Group","Index","bin1","bin2","bin3","bin4","bin5","bin6","bin7","bin8","bin9","bin10","bin11","bin12","bin13","bin14","bin15","bin16","bin17","bin18","bin19","bin20","bin21","bin22","bin23","bin24","bin25","bin26","bin27","bin28","bin29","bin30","bin31","bin32","bin33","bin34","bin35","bin36","bin37","bin38","bin39","bin40","bin41","bin42","bin43","bin44","bin45","bin46","bin47","bin48","bin49","bin50","bin51","bin52","bin53","bin54"
"CbMPDiCbraya","Status","Wild","HeS","0","0","0.0542827656112411","0.187264632546471","0","0.00402140836805073","0.01393829245292","0","0.194979227366038","0.0101670758000389","0.014487138728858","0","0","0.16176824872499","0.0245351946948791","0","0","0.000407242560581009","0","0","0.0964482160537087","0","0","0","0","0","0","0.0368569103554158","0","0","0","0.00125219116267524","0.14034665350577","0.000575540035752939","0.0222463456656034","0.00509250986535215","0","0.000931466697512661","0","0.0321209028426175","0.00305372420238606","0.0232977934561741","0","0.00391182190528326","0.0261694485295635","0.00297141523709173","0.00993222252058747","0","0.0348752391568921","0.000808863161211418","0.0298614290557442","0.000542076694223757","0","0.000171278947336558"
"CbMPDiCbraya","Status","Wild","HoS","0.0383231640915333","0.0119900348222497","0.0329048468381784","0.0327735274450727","0.0221842624757234","0.229260887348961","0.341472963557935","0.0453697574405953","0.326395682777139","0.0612823550202431","0.161790771305512","0.0519277101034843","0.000144273565691792","0.0378478379021242","0.000122195459958209","0.0256079272910078","0.000939850390332413","0.0381393788477455","0.367119587659932","0.405789801180045","0.256989685562317","0.0275177643466645","0.0617753965387081","0.196957769326965","0.0389532347786709","0.170684268958351","0","0.27160218801154","0.103582794108571","0.121597932591138","0.0140926809916321","0.0101761896125097","0.0821710763273493","0.0223267702300494","0.0124392959715301","0.00222686568075527","0.0174163240664388","0.00121616497917594","0.269186823728797","0.00944452169306837","0.199320455314713","0.0683262873890453","0.0441765355002691","0.0208933418534489","0.00213141962516324","0.17588448608985","0.251011342863599","0.022466085500978","0.047572873677103","0.0460629722993834","0.0775363816797748","0.0327127377786432","0.07132689698399","0.0646485716388166"
"CbMPDiCbraya","Status","Wild","DL","0.779380246860983","0.960855779844496","0.800551034392959","0.759832479171039","0.954330495464413","0.48675062763766","0.61734705691168","0.822227711226893","0.476299701088203","0.853280455861081","0.516806343320318","0.260049307123238","0.315383895364371","0.778093624596174","0.936072299390891","0.967705007670254","0.984188422076696","0.079472648442601","0.20434172106265","0.592548706188352","0.523953375126615","0.924131412640105","0.741773906741979","0.625937321339482","0.88393009072564","0.53953526540834","0.988063477283753","0.59109475679083","0.650480429198336","0.784507841805248","0.963595828843241","0.880213960634489","0.697590750560369","0.870818065908334","0.875206256494343","0.644248559597374","0.776986410130643","0.967638205093597","0.00604417680174411","0.906144786334343","0.714377858537754","0.579623806303896","0.099971559410982","0.945377326394574","0.0352323331493164","0.397945810436171","0.723000846451433","0.965477057782675","0.868767713527892","0.840580489239416","0.813301244116574","0.885527281905982","0.885857051458633","0.840010918505207"
"CbMPDiCbraya","Status","Wild","HD","0","0","0","0","0","0","0","0","0","0","3.70602344941034e-07","0.00303071329519837","4.15278620577892e-05","0","0","0","0","0.00130680795609532","9.05745041690012e-05","0","0","0","0","0","0.000890618643620543","0","0","0","1.77243478405767e-05","7.22835656342656e-05","0","0.00154939628979657","0","0","0","0.00427401255872693","8.26504651351615e-06","7.97758689321894e-06","0.000272410574461837","0.000347589463374156","1.14973175190024e-05","0.000469092896136977","0.000578980870383386","3.39269129726804e-06","0.00084780245906806","0.000101368569164899","0","0","6.42595743887179e-05","0.00203263217053053","0.000203192494680849","0","0","0.000423667355710975"
"CbMPDiCbraya","Status","Wild","DR","0.182296589047484","0.0271541853332543","0.112261353157621","0.0201293608374179","0.0234852420598641","0.279967076645329","0.0272416870774655","0.132402531332512","0.00232538876862044","0.0752701133186372","0.306915376042967","0.684992269478079","0.684430303207879","0.0222902887767115","0.0392703104542721","0.00668706503873845","0.0148717275329713","0.880673922192977","0.428448116773249","0.00166149263160316","0.122608723257359","0.0483508230132299","0.196450696719313","0.177104909333553","0.0762260558520686","0.289780465633309","0.0119365227162473","0.100446144842214","0.245919052345252","0.0938219420379797","0.0223114901651273","0.106808262300529","0.0798915196065119","0.106279623825864","0.0901081018685237","0.344158052297792","0.205589000756404","0.0302061856428209","0.724496588894998","0.0519421996665974","0.0832364646276273","0.328283019954748","0.855272924218366","0.0298141171553968","0.935618996236889","0.423096919667722","0.0160555881643803","0.0120568567163467","0.0487199140637238","0.110515043129459","0.0790977526532266","0.0812179036211509","0.0428160515573769","0.0947455635529291"
"CbMPDiCbraya","Status","Wild","DominantProcess","DL","DL","DL","DL","DL","DL","DL","DL","DL","DL","DL","DR","DR","DL","DL","DL","DL","DR","DR","DL","DL","DL","DL","DL","DL","DL","DL","DL","DL","DL","DL","DL","DL","DL","DL","DL","DL","DL","DR","DL","DL","DL","DR","DL","DR","DR","DL","DL","DL","DL","DL","DL","DL","DL"
"CbMPDiCbraya","Status","Wild","DominantProcessImportance","0.779380246860983","0.960855779844496","0.800551034392959","0.759832479171039","0.954330495464413","0.48675062763766","0.61734705691168","0.822227711226893","0.476299701088203","0.853280455861081","0.516806343320318","0.684992269478079","0.684430303207879","0.778093624596174","0.936072299390891","0.967705007670254","0.984188422076696","0.880673922192977","0.428448116773249","0.592548706188352","0.523953375126615","0.924131412640105","0.741773906741979","0.625937321339482","0.88393009072564","0.53953526540834","0.988063477283753","0.59109475679083","0.650480429198336","0.784507841805248","0.963595828843241","0.880213960634489","0.697590750560369","0.870818065908334","0.875206256494343","0.644248559597374","0.776986410130643","0.967638205093597","0.724496588894998","0.906144786334343","0.714377858537754","0.579623806303896","0.855272924218366","0.945377326394574","0.935618996236889","0.423096919667722","0.723000846451433","0.965477057782675","0.868767713527892","0.840580489239416","0.813301244116574","0.885527281905982","0.885857051458633","0.840010918505207"
"CbMPDiCbraya","Status","Wild","DominantProcessPvalue","0.027","0.001","0.009","0.219","0.014","0.325","0.137","0.03","0.376","0.051","0.191","0.09","0.136","0.035","0.101","0.379","0.011","0","0.33","0.306","0.126","0.001","0.371","0.095","0.01","0.206","0.015","0.159","0.142","0","0.013","0.012","0.055","0.069","0.125","0.168","0.125","0.015","0.01","0.001","0.011","0.289","0","0","0","0.474","0.087","0.003","0","0.001","0","0.01","0.001","0.017"
"CbMPDiCbraya","Status","Domesticated","HeS","0.000797996689968657","0.0233785448931901","0","0","0.0368986859150154","0.0146180755841176","0.0239157840709125","0.0289418063163355","0","0.0149250512742881","0","0","0","0.00438500097932749","0","0","0","0","0.000760510583232645","0","0.0998004490262733","0","0","0","0.0371926008357173","0.00902878305856925","0.0309629444779765","0","0.00752760266250448","0","0.00363403829514718","0","0.00819660079166947","0","0","0.000254365798755144","0","0.0593080020276433","0","0","0.0398552271810904","0.067110905107937","0.0559964084949195","0","0","0.0146886334165073","0.0068720751338944","0.00462326859348204","0.00634859371521002","0.000149442191032464","0.0314925993410816","0","0","0"
"CbMPDiCbraya","Status","Domesticated","HoS","0.0908463686181355","0.0353170652063269","0.00549135622710151","0","0.000279187466575298","0.201726740832883","0.043492867951881","0.0928348431585824","8.27697096897025e-05","0.0227457621792895","0.145140699620906","0.325096290192833","0.105864465462852","0.206519834016494","0","0.19176838643639","0.000671126531236544","0.0902105497032379","0.0309445754680824","0.0273930500910599","0.209556624813171","6.35465214532631e-05","0.164159186831855","0.0287623676082962","0.043153273334618","0.0217908643968562","0.0891629542704646","0.00110872660562698","0.113769004704218","0.0896043996202547","0.103621458525987","0.0052241447731538","0.14509011840368","0.0296373391015428","0","0.093002724668151","0.000116014101245998","0.00120179850188514","0.307131212391387","0.249547571796808","0.203616449631627","0.0193608703133565","0.0217511962628196","0.000843697680896389","0.00829065262804457","0.497031851538713","0.0162448934992171","0.00862647257135452","0.06409463727722","0.0310009714909372","0.0414198691346938","0.0740712031421732","0.0016955389094693","0.0307579996752856"
"CbMPDiCbraya","Status","Domesticated","DL","0.727875048960749","0.725783679230065","0.964072562917368","0.725961946641692","0.924334252668313","0.493344255147453","0.890306154555735","0.812638380965959","0.612036303165821","0.94699194268585","0.504130238597533","0.018904538210586","0.291509857461127","0.772753423426881","0.998900086803732","0.731348514104407","0.986351054853355","0.0162253784823324","0.256988182043284","0.959709006228014","0.382456522513844","0.91840042237573","0.820079786628081","0.695572891260685","0.633192288339051","0.82087392459718","0.84752091802055","0.935590692251098","0.575858812831241","0.783567982990253","0.868212449522621","0.915605155463449","0.809701631299972","0.0226478379971087","0.998680231608317","0.750042921670625","0.790074768534348","0.921113813870966","0.012206249331946","0.689407892860291","0.594992539790554","0.837283477873889","0.0420962377338776","0.988229914998908","0","0.31348248649653","0.892884696498318","0.882694328622916","0.907246769059142","0.883238708642612","0.40894275025688","0.887268718793335","0.962157354180321","0.631883058076862"
"CbMPDiCbraya","Status","Domesticated","HD","0","0","0","0","0","0","0","0","0","0","0.0021670921914128","0.00194016984230521","0.00408843624832101","0","0","0","0","0.00410705121909688","0.000891745017594377","0","0","0","0","0","0.000632944771613632","0","0","0","0.000647510576998626","3.49409710386319e-06","0","0.0024889319625255","0","0","0","0.00021968439726604","0","0","0","2.54020306524162e-05","0.000175102602318181","3.4765732824222e-05","0.000254773930810819","1.4379909171938e-05","0.0136579074199544","2.72466325989348e-05","0","0","0.000194339292522423","0.00227705539618213","0.00101170919422427","0","0","1.72087162385524e-05"
"CbMPDiCbraya","Status","Domesticated","DR","0.180480585731147","0.215520710670418","0.0304360808555307","0.274038053358308","0.0384878739500959","0.290310928435547","0.0422851934214715","0.0655849695591236","0.387880927124489","0.0153372438605727","0.348561969590148","0.654059001754276","0.598537240827699","0.0163417415772977","0.00109991319626853","0.0768830994592024","0.0129778186154081","0.889457020595333","0.710414986887806","0.0128979436809262","0.308186403646711","0.0815360311028168","0.0157610265400641","0.275664741131019","0.285828892719","0.148306427947394","0.0323531832310088","0.0633005811432748","0.302197069225038","0.126824123292389","0.0245320536562445","0.0766817678008718","0.0370116495046782","0.947714822901348","0.00131976839168333","0.156480303465202","0.209809217364406","0.018376385599506","0.680662538276667","0.0610191333122482","0.161360680794411","0.0762099809719931","0.879901383577573","0.0109120074110236","0.978051439952001","0.174769781915651","0.0839983348685706","0.104055930212247","0.0221156606559057","0.0833338222792361","0.517133072073121","0.0386600780644916","0.0361471069102095","0.337341733531614"
"CbMPDiCbraya","Status","Domesticated","DominantProcess","DL","DL","DL","DL","DL","DL","DL","DL","DL","DL","DL","DR","DR","DL","DL","DL","DL","DR","DR","DL","DL","DL","DL","DL","DL","DL","DL","DL","DL","DL","DL","DL","DL","DR","DL","DL","DL","DL","DR","DL","DL","DL","DR","DL","DR","HoS","DL","DL","DL","DL","DR","DL","DL","DL"
"CbMPDiCbraya","Status","Domesticated","DominantProcessImportance","0.727875048960749","0.725783679230065","0.964072562917368","0.725961946641692","0.924334252668313","0.493344255147453","0.890306154555735","0.812638380965959","0.612036303165821","0.94699194268585","0.504130238597533","0.654059001754276","0.598537240827699","0.772753423426881","0.998900086803732","0.731348514104407","0.986351054853355","0.889457020595333","0.710414986887806","0.959709006228014","0.382456522513844","0.91840042237573","0.820079786628081","0.695572891260685","0.633192288339051","0.82087392459718","0.84752091802055","0.935590692251098","0.575858812831241","0.783567982990253","0.868212449522621","0.915605155463449","0.809701631299972","0.947714822901348","0.998680231608317","0.750042921670625","0.790074768534348","0.921113813870966","0.680662538276667","0.689407892860291","0.594992539790554","0.837283477873889","0.879901383577573","0.988229914998908","0.978051439952001","0.497031851538713","0.892884696498318","0.882694328622916","0.907246769059142","0.883238708642612","0.517133072073121","0.887268718793335","0.962157354180321","0.631883058076862"
"CbMPDiCbraya","Status","Domesticated","DominantProcessPvalue","0.06","0.118","0.003","0.2","0.129","0.362","0.005","0.017","0.347","0.001","0.338","0.153","0.109","0.082","0.013","0.367","0.354","0","0.059","0.03","0.487","0.037","0","0.239","0.128","0.014","0.019","0.12","0.162","0.01","0.01","0.002","0.006","0.003","0.126","0.014","0.251","0.034","0.086","0.057","0.06","0.041","0","0.02","0","0.314","0.039","0.04","0","0.005","0.384","0.001","0.121","0.249"
"CbMPDiCbraya","Status","Wild_vs_Domesticated","HeS","0.000614493686251926","0.015433559446111","0.00230961595521027","0.185404534599095","0.00950973484707086","0.00690761015985848","0.0248656126471191","0.00307903645767815","0.156321984779854","0.0156375950362607","0.00759641801534238","0","0.0188010664361414","0.143570245000406","0.0189147786701092","0","0","0.00165396282773806","0","0","0.140516965822127","0","0","0","0.0138550484611783","0.00273009811109417","0.00776480126673445","0.011069215672575","0.00241171864656628","0","0.000534438928850723","0.000258365634859508","0.0174329183255853","0.00110693591898951","0","0.000758062805149671","0","0.0159050883342896","0","0.0110866937366547","0.0333468104332219","0.0993081788037286","0.0297460162695851","0.00593849495517468","0.0115650918906176","0.0322403251066364","0.00951876205930036","0.0105797655206335","0.0107633799655249","0.00450029609577877","0.0378118440424157","0","0","8.79048575290542e-05"
"CbMPDiCbraya","Status","Wild_vs_Domesticated","HoS","0.0634725909465327","0.0164374809601694","0.0224602863268735","0.00363452833368837","0.00946964496445862","0.225985919814194","0.196630790571992","0.0527410053222605","0.309335598589101","0.00659804306621482","0.161396472486897","0.174537157030029","0.0290071886271351","0.0519894331756493","0","0.0216187028506204","0.000990262537646129","0.0648186899038123","0.150507787630355","0.158223086436404","0.220559368332462","0.00708405682555588","0.095514708043046","0.0939685310876113","0.049632680751976","0.090954102878785","0.0289733762477529","0.179248644931248","0.118298565195702","0.111176886642101","0.082718876364066","0.0144756927602945","0.166448884436874","0.0224163273700811","0.0240735872428397","0.0587328785090343","0.00397201799987818","0.00173850940011931","0.308064583263139","0.0693238487019431","0.13869776031591","0.0266136442484648","0.0356691932547307","0.0165685782306678","0.00610255193049278","0.29180125355637","0.123203443738093","0.0122853686138018","0.0467701115500483","0.0585655519593325","0.0487685486330917","0.0224493569918724","0.0318894459321856","0.022748780406844"
"CbMPDiCbraya","Status","Wild_vs_Domesticated","DL","0.732382913962199","0.842745869561179","0.899467281565217","0.758368298302073","0.952148047499372","0.453841413962169","0.744541705355719","0.850147749444284","0.477408248379541","0.954033685854744","0.514396686410827","0.143652709279912","0.324423252163381","0.784173179484257","0.96689570465651","0.901944960506814","0.98459503382124","0.0427737123335539","0.232094191833944","0.833832592738719","0.431565613770048","0.944154779191987","0.870351594212321","0.697043140909165","0.758218881296058","0.713014201220288","0.941500617135802","0.730839181477394","0.603338851680856","0.759429502439445","0.891852017929976","0.891752793007219","0.762320883544773","0.773246564117304","0.941154133818139","0.7137598162209","0.786195437295481","0.953684242782341","0.0141420446944737","0.863371219836156","0.711515359338896","0.745589996669083","0.0906734637536754","0.958983762612918","0.021489629176283","0.4240948739017","0.824292824342671","0.907737643758859","0.90130438332077","0.843728561656497","0.765635536133455","0.919898528843853","0.950843041842401","0.80419753184967"
"CbMPDiCbraya","Status","Wild_vs_Domesticated","HD","0","0","0","0","0","0","0","0","0","0","0.000615745068435678","0.00025871811030568","0.000526671744015813","0","0","0","0","0.00471701645990409","0.000531985906802932","0","0","0","0","0","0.000891471067887635","0","0","0","0.00024942793825334","2.76481705377618e-05","0","0.00249855811096468","0","0","0","0.00148851719273473","9.29938540826227e-06","8.12085974636907e-06","0","0.000153243891505665","6.38297502435854e-05","0.000219982302033087","0.000834391925380828","7.34953509047432e-06","0.00510237003967194","7.30791385333148e-05","0","0","0.000125400893000629","0.00258693541301069","0.000358822829321787","3.88999044629186e-06","0","0.00030124659951941"
"CbMPDiCbraya","Status","Wild_vs_Domesticated","DR","0.203530001405016","0.12538309003254","0.0757628161526993","0.0525926387651438","0.0288725726890987","0.313265056063778","0.0339618914251692","0.0940322087757775","0.0569341682515036","0.0237306760427804","0.315994678018499","0.681551415579754","0.627241821029327","0.0202671423396878","0.0141895166733812","0.0764363366425659","0.0144147036411137","0.886036618474992","0.616866034628897","0.0079443208248776","0.207358052075364","0.0487611639824571","0.0341336977446326","0.208988328003224","0.1774019184229","0.193301597789833","0.0217612053497106","0.0788429579187824","0.275701436538622","0.129365962747916","0.0248946667771075","0.0910145904866627","0.0537973136927683","0.203230172593625","0.0347722789390217","0.225260725272181","0.209823245319232","0.0286640386235035","0.677793372042388","0.0560649938337407","0.116376240161728","0.128268197976691","0.843076934796628","0.0185018146661495","0.955740356962935","0.25179046829676","0.0429849698599357","0.0693972221067057","0.0410367242706559","0.0906186548753812","0.147425248361715","0.0576482241738282","0.017267512225413","0.172664536286438"
"CbMPDiCbraya","Status","Wild_vs_Domesticated","DominantProcess","DL","DL","DL","DL","DL","DL","DL","DL","DL","DL","DL","DR","DR","DL","DL","DL","DL","DR","DR","DL","DL","DL","DL","DL","DL","DL","DL","DL","DL","DL","DL","DL","DL","DL","DL","DL","DL","DL","DR","DL","DL","DL","DR","DL","DR","DL","DL","DL","DL","DL","DL","DL","DL","DL"
"CbMPDiCbraya","Status","Wild_vs_Domesticated","DominantProcessImportance","0.732382913962199","0.842745869561179","0.899467281565217","0.758368298302073","0.952148047499372","0.453841413962169","0.744541705355719","0.850147749444284","0.477408248379541","0.954033685854744","0.514396686410827","0.681551415579754","0.627241821029327","0.784173179484257","0.96689570465651","0.901944960506814","0.98459503382124","0.886036618474992","0.616866034628897","0.833832592738719","0.431565613770048","0.944154779191987","0.870351594212321","0.697043140909165","0.758218881296058","0.713014201220288","0.941500617135802","0.730839181477394","0.603338851680856","0.759429502439445","0.891852017929976","0.891752793007219","0.762320883544773","0.773246564117304","0.941154133818139","0.7137598162209","0.786195437295481","0.953684242782341","0.677793372042388","0.863371219836156","0.711515359338896","0.745589996669083","0.843076934796628","0.958983762612918","0.955740356962935","0.4240948739017","0.824292824342671","0.907737643758859","0.90130438332077","0.843728561656497","0.765635536133455","0.919898528843853","0.950843041842401","0.80419753184967"
"CbMPDiCbraya","Status","Wild_vs_Domesticated","DominantProcessPvalue","0.016","0.004","0","0.171","0.002","0.294","0.009","0","0.332","0","0.145","0.009","0.067","0.015","0.001","0.214","0.003","0","0.004","0.032","0.184","0","0","0.041","0.006","0.015","0","0.031","0.054","0","0.002","0","0","0.163","0.019","0.009","0.056","0","0.009","0","0.001","0.033","0","0","0","0.327","0.004","0.003","0","0","0.001","0","0","0.01"
